N;r
13;-0,011587369
12;0,011587369
13;0,100343332
26;-0,061508142
17;0,408639037
286;-0,048911955
204;0,216547482
553;0,042604704
610;0,137395623
837;-0,084954513
566;0
566;0,157274114
813;0,01932838
850;0,013580668
877;-0,184087701
574;0,01851493
599;-0,301755634
299;0,126388803
400;-0,033858267
370;0,023975033
391;0,311997611
802;-0,05291602
710;
