Espece;Action;ID ind;Sexe;Age;Poids (g);Longueur dossiere (cm);Commune;site capture;Jour;Mois;Annee
Emys orbicularis;Recapture;347;F;ND;628;ND;Arles;Bois Rescapé;28;8;2006
Emys orbicularis;Recapture;360;F;ND;570;ND;Arles;Boutardière;28;8;2006
Emys orbicularis;Recapture;350;F;ND;502;ND;Arles;Bois Rescapé;29;8;2006
Emys orbicularis;Recapture;361;F;ND;125;ND;Arles;Boutardière;29;8;2006
Emys orbicularis;Recapture;317;F;ND;529;ND;Arles;Palunette Ligagneau - Baie des cochons;31;8;2006
Emys orbicularis;Recapture;347;F;ND;637;ND;Arles;Palunette Ligagneau - Baie des cochons;31;8;2006
Emys orbicularis;Marquage;369;M;ND;381;138;Arles;Boutardière;31;8;2006
Emys orbicularis;Recapture;254;M;ND;377;ND;Arles;Palunette Ligagneau - Baie des cochons;1;9;2006
Emys orbicularis;Recapture;255;M;ND;282;ND;Arles;Palunette Ligagneau - Baie des cochons;1;9;2006
Emys orbicularis;Recapture;332;M;ND;367;ND;Arles;Palunette Ligagneau - Baie des cochons;1;9;2006
Emys orbicularis;Recapture;364;M;ND;ND;ND;Arles;Palunette Ligagneau - Baie des cochons;1;9;2006
Emys orbicularis;Recapture;271;F;ND;474;ND;Arles;Cabanes de l'Etourneau;2;9;2006
Emys orbicularis;Recapture;317;F;ND;ND;ND;Arles;Palunette Ligagneau - Baie des cochons;2;9;2006
Emys orbicularis;Recapture;364;M;ND;ND;ND;Arles;Palunette Ligagneau - Baie des cochons;2;9;2006
Emys orbicularis;Recapture;347;F;ND;624;ND;Arles;Palunette Ligagneau - Baie des cochons;4;9;2006
Emys orbicularis;Recapture;161;F;ND;633;ND;Arles;Palunette Ligagneau - Baie des cochons;5;9;2006
Emys orbicularis;Marquage;370;F;ND;699;159;Arles;Demi-Lune;7;9;2006
Emys orbicularis;Marquage;371;F;ND;509;145;Arles;Les Friches - Porteau principal;8;9;2006
Emys orbicularis;Recapture;255;M;ND;281;ND;Arles;Palunette Ligagneau - Baie des cochons;12;9;2006
Emys orbicularis;Recapture;270;F;ND;701;ND;Arles;Palunette Ligagneau - Baie des cochons;12;9;2006
Emys orbicularis;Recapture;347;F;ND;657;ND;Arles;Palunette Ligagneau - Baie des cochons;12;9;2006
Emys orbicularis;Recapture;161;F;ND;648;ND;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;254;M;ND;365;ND;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;270;F;ND;687;ND;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;332;M;ND;364;ND;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;347;F;ND;635;ND;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;370;F;ND;696;ND;Arles;Les Friches - Porteau principal;15;9;2006
Emys orbicularis;Marquage;372;F;ND;99,5;80;Arles;Palunette Ligagneau - Baie des cochons;15;9;2006
Emys orbicularis;Recapture;161;F;ND;661;ND;Arles;Palunette Ligagneau - Baie des cochons;22;9;2006
Emys orbicularis;Marquage;373;F;ND;696;163;Arles;Etourneau Nord;25;9;2006
Emys orbicularis;Marquage;374;M;ND;354;133;Arles;Palunette Ligagneau - Baie des cochons;2;10;2006
Emys orbicularis;Marquage;375;F;ND;689;166;Arles;Sentier Ludo;8;10;2006
Emys orbicularis;Recapture;255;M;ND;279;ND;Arles;Palunette Ligagneau - Baie des cochons;10;10;2006
Emys orbicularis;Recapture;263;M;ND;347;ND;Arles;Palunette Ligagneau - Baie des cochons;12;10;2006
Emys orbicularis;Marquage;376;M;ND;387;138;Arles;Les Friches - Porteau principal;12;10;2006
Emys orbicularis;Recapture;256;M;ND;430;ND;Arles;Palunette Ligagneau - Baie des cochons;16;10;2006
Emys orbicularis;Marquage;377;F;ND;348;136;Arles;Palunette Ligagneau - Baie des cochons;16;10;2006
Emys orbicularis;Recapture;163;F;ND;665;ND;Arles;Bois Rescapé;18;10;2006
Emys orbicularis;Recapture;257;M;ND;415;ND;Arles;Bois Rescapé;18;10;2006
Emys orbicularis;Recapture;263;M;ND;356;ND;Arles;Palunette Ligagneau - Baie des cochons;18;10;2006
Emys orbicularis;Marquage;378;F;ND;682;168;Arles;Bois Rescapé;18;10;2006
Emys orbicularis;Marquage;379;F;ND;684;159;Arles;Cabanes de l'Etourneau - Aire de Pique-Nique;19;10;2006
Emys orbicularis;Marquage;380;F;ND;486;145;Arles;Baisse des Oies - Piste;20;10;2006
Emys orbicularis;Marquage;381;F;ND;520;147;Arles;Les Friches;20;10;2006
Emys orbicularis;Marquage;382;F;ND;892;177;Arles;Palunette Ligagneau - Baie des cochons;20;10;2006
Emys orbicularis;Marquage;383;F;ND;503;145;Arles;Les Friches - Porteau principal;23;10;2006
Emys orbicularis;Marquage;384;ind;ND;307;122;Arles;Franc-Bord Demi-Lune;1;11;2006
Emys orbicularis;Marquage;385;M;ND;254;122;Arles;Franc-Bord Demi-Lune;1;11;2006
Emys orbicularis;Marquage;386;M;ND;406;147;Arles;Franc-Bord Demi-Lune;1;11;2006
Emys orbicularis;Marquage;387;M;Ad;462;143;Arles;Les Friches;2;11;2006
Emys orbicularis;Marquage;388;M;Ad;405;139;Arles;Les Friches;2;11;2006
Emys orbicularis;Marquage;389;M;Ad;416;148;Arles;Franc-Bord Friches;5;11;2006
Emys orbicularis;Marquage;390;F;Ad;701;158;Arles;Piste Principale - En face de Demi-Lune;14;11;2006
Emys orbicularis;Marquage;391;M;Ad;416;140;Arles;Piste Principale - En face de Demi-Lune;16;11;2006
Emys orbicularis;Marquage;392;M;Ad;324;138;Arles;Piste Principale - En face de Demi-Lune;17;11;2006
Emys orbicularis;Marquage;393;M;Ad;361;138;Arles;Franc-Bord Friches;4;12;2006
Emys orbicularis;Marquage;394;F;Ad;820;165;Arles;Franc-Bord Friches;4;12;2006
Emys orbicularis;Recapture;391;M;Ad;412;141;Arles;Franc-Bord Demi-Lune;17;2;2007
Emys orbicularis;Recapture;263;M;ND;344;ND;Arles;Palunette Ligagneau - Baie des cochons;20;2;2007
Emys orbicularis;Marquage;395;F;ND;728;163;Arles;Franc-Bord Friches;20;2;2007
Emys orbicularis;Marquage;396;F;ND;517;146;Arles;Franc-Bord Friches;20;2;2007
Emys orbicularis;Marquage;398;F;ND;809;169;Arles;Franc-Bord Demi-Lune;21;2;2007
Emys orbicularis;Marquage;502;F;ND;510;139;Arles;Franc-Bord Palunette Ligagneau;21;2;2007
Emys orbicularis;Recapture;263;M;ND;ND;ND;Arles;Palunette Ligagneau - Baie des cochons;22;2;2007
Emys orbicularis;Recapture;391;ind;ND;ND;ND;Arles;Franc-Bord Demi-Lune;22;2;2007
Emys orbicularis;Recapture;259;M;Ad;393;138;Arles;Palunette Ligagneau - Baie des cochons;23;2;2007
Emys orbicularis;Marquage;797;F;Ad;737;157;Arles;Franc-Bord Demi-Lune;23;2;2007
Emys orbicularis;Recapture;391;M;ND;ND;ND;Arles;Franc-Bord Demi-Lune;25;2;2007
Emys orbicularis;Marquage;397;M;ND;ND;143;Arles;Franc-Bord Demi-Lune;25;2;2007
Emys orbicularis;Marquage;399;F;ND;718;159;Arles;Franc-Bord Demi-Lune;26;2;2007
Emys orbicularis;Recapture;797;F;Ad;703;ND;Arles;Franc-Bord Demi-Lune;13;3;2007
Emys orbicularis;Marquage;400;M;Ad;317;128;Arles;Franc-Bord Demi-Lune;14;3;2007
Emys orbicularis;Marquage;401;M;Ad;466;148;Arles;Haie Sud - Trois Martelières;14;3;2007
Emys orbicularis;Marquage;402;M;Ad;456;140;Arles;Haie Sud - Trois Martelières;14;3;2007
Emys orbicularis;Marquage;403;M;ND;219;113,5;Arles;Franc-Bord Palunette Ligagneau;14;3;2007
Emys orbicularis;Marquage;404;F;ND;730;160;Arles;Franc-Bord Palunette Ligagneau;14;3;2007
Emys orbicularis;Marquage;405;F;Ad;855;173;Arles;Franc-Bord Demi-Lune;15;3;2007
Emys orbicularis;Marquage;406;M;ND;366;138;Arles;Prise d'eau Vigueirat Etourneau;16;3;2007
Emys orbicularis;Marquage;407;F;ND;752;163;Arles;Franc-Bord Demi-Lune;16;3;2007
Emys orbicularis;Recapture;313;F;ND;576;ND;Arles;Haie Sud - Trois Martelières;16;3;2007
Emys orbicularis;Recapture;325;F;ND;581;ND;Arles;Haie Sud - Trois Martelières;16;3;2007
Emys orbicularis;Recapture;265;F;ND;704;ND;Arles;Palunette Ligagneau - Baie des cochons;19;3;2007
Emys orbicularis;Recapture;257;M;ND;416;ND;Arles;Palunette Ligagneau - Baie des cochons;19;3;2007
Emys orbicularis;Marquage;408;F;ND;554;153;Arles;Franc-Bord Demi-Lune;19;3;2007
Emys orbicularis;Marquage;409;M;Ad;345;133;Arles;Franc-Bord Demi-Lune;26;3;2007
Emys orbicularis;Recapture;408;F;ND;556;ND;Arles;Franc-Bord Demi-Lune;26;3;2007
Emys orbicularis;Recapture;393;M;ND;349;132;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Recapture;405;F;ND;851;ND;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Recapture;194;M;ND;427;ND;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Marquage;503;F;Ad;798;170;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Marquage;410;M;Ad;431;142;Arles;Franc-Bord Palunette Ligagneau;27;3;2007
Emys orbicularis;Marquage;411;F;Ad;653;157;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Marquage;412;F;Ad;688;155;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Marquage;413;M;Ad;361;138;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Marquage;414;F;Ad;641;157;Arles;Franc-Bord Demi-Lune;27;3;2007
Emys orbicularis;Recapture;384;M;ND;277;125;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;389;M;ND;408;142;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;385;M;ND;249;123;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;387;M;ND;409;142;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;503;F;ND;791;ND;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;194;M;ND;422;ND;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Recapture;259;M;ND;397;137;Arles;Palunette Ligagneau - Baie des cochons;28;3;2007
Emys orbicularis;Marquage;415;F;Ad;871;172;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Marquage;416;F;Ad;735;157;Arles;Franc-Bord Demi-Lune;28;3;2007
Emys orbicularis;Marquage;417;F;ND;791;162;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;413;M;ND;365;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;391;M;ND;420;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;408;F;ND;558;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;194;M;ND;420;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;389;M;ND;407;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;386;M;ND;400;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;409;M;ND;346;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;384;M;ND;277;ND;Arles;Franc-Bord Demi-Lune;29;3;2007
Emys orbicularis;Recapture;259;M;ND;388;ND;Arles;Franc-Bord Palunette Ligagneau;29;3;2007
Emys orbicularis;Marquage;418;F;ND;861;167;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;259;M;ND;393;ND;Arles;Franc-Bord Palunette Ligagneau;30;3;2007
Emys orbicularis;Recapture;377;F;4 ans;351;135;Arles;Franc-Bord Palunette Ligagneau;30;3;2007
Emys orbicularis;Recapture;329;M;ND;427;142;Arles;Haie Sud - Trois Martelières;30;3;2007
Emys orbicularis;Recapture;411;F;ND;641;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;390;F;ND;699;156;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;387;M;ND;406;141;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;384;ind;5 ans;276;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;393;M;ND;347;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;412;F;ND;682;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;405;F;ND;830;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;413;M;ND;364;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;337;M;ND;361;ND;Arles;Franc-Bord Demi-Lune;30;3;2007
Emys orbicularis;Recapture;389;M;ND;406;ND;Arles;Franc-Bord Demi-Lune;2;4;2007
Emys orbicularis;Recapture;415;M;ND;830;ND;Arles;Franc-Bord Demi-Lune;2;4;2007
Emys orbicularis;Recapture;413;F;ND;358;ND;Arles;Franc-Bord Demi-Lune;2;4;2007
Emys orbicularis;Recapture;388;M;ND;396;ND;Arles;Franc-Bord Demi-Lune;2;4;2007
Emys orbicularis;Marquage;419;M;ND;392;140;Arles;Palunette Ligagneau - Baie des cochons;3;4;2007
Emys orbicularis;Marquage;420;F;ND;609;165;Arles;Franc-Bord Palunette Ligagneau;3;4;2007
Emys orbicularis;Marquage;421;F;ND;653;163;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;257;M;ND;401;ND;Arles;Palunette Ligagneau - Baie des cochons;3;4;2007
Emys orbicularis;Recapture;391;M;ND;417;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;387;M;ND;410;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;400;M;ND;318;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;503;F;ND;799;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;393;M;ND;346;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Recapture;337;M;ND;362;ND;Arles;Franc-Bord Demi-Lune;3;4;2007
Emys orbicularis;Marquage;422;F;ND;593;152;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Marquage;423;F;Ad;669;177;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Recapture;321;M;ND;305;ND;Arles;Haie Sud - Trois Martelières;4;4;2007
Emys orbicularis;Recapture;261;M;ND;324;130;Arles;Palunette Ligagneau - Baie des cochons;4;4;2007
Emys orbicularis;Recapture;421;F;ND;659;ND;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Recapture;407;F;ND;747;ND;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Recapture;416;F;ND;738;ND;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Recapture;389;M;ND;408;142;Arles;Franc-Bord Demi-Lune;4;4;2007
Emys orbicularis;Recapture;384;ind;ND;288;ND;Arles;Franc-Bord Demi-Lune;5;4;2007
Emys orbicularis;Recapture;337;M;ND;359;ND;Arles;Franc-Bord Demi-Lune;5;4;2007
Emys orbicularis;Marquage;424;M;4 ans;188;104;Arles;Franc-Bord Palunette Ligagneau;5;4;2007
Emys orbicularis;Recapture;374;M;ND;344;ND;Arles;Palunette Ligagneau - Baie des cochons;6;4;2007
Emys orbicularis;Recapture;387;M;ND;442;ND;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Recapture;400;M;ND;323;ND;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Recapture;415;F;ND;833;ND;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Recapture;391;M;ND;421;ND;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Marquage;425;F;ND;579;152;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Marquage;426;F;ND;653;159;Arles;Franc-Bord Demi-Lune;6;4;2007
Emys orbicularis;Recapture;327;F;ND;703;ND;Arles;Haie Sud - Trois Martelières;10;4;2007
Emys orbicularis;Recapture;390;F;ND;706;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;385;M;ND;249;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;400;M;ND;316;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;393;M;ND;341;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;413;M;ND;362;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;337;M;ND;369;ND;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Marquage;427;F;ND;651;162;Arles;Clos des Montures;10;4;2007
Emys orbicularis;Marquage;428;F;ND;612;157;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Marquage;429;F;ND;748;165;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Marquage;430;M;ND;432;144;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Marquage;431;F;ND;774;169;Arles;Franc-Bord Demi-Lune;10;4;2007
Emys orbicularis;Recapture;403;M;ND;217;ND;Arles;Franc-Bord Palunette Ligagneau;11;4;2007
Emys orbicularis;Recapture;382;F;ND;871;ND;Arles;Palunette Ligagneau - Baie des cochons;11;4;2007
Emys orbicularis;Recapture;261;M;ND;319;ND;Arles;Palunette Ligagneau - Baie des cochons;11;4;2007
Emys orbicularis;Recapture;390;F;ND;690;ND;Arles;Franc-Bord Demi-Lune;11;4;2007
Emys orbicularis;Recapture;430;M;ND;430;ND;Arles;Franc-Bord Demi-Lune;11;4;2007
Emys orbicularis;Marquage;432;M;ND;378;137;Arles;Haie Sud - Trois Martelières;11;4;2007
Emys orbicularis;Marquage;433;F;ND;703;161;Arles;Franc-Bord Palunette Ligagneau;11;4;2007
Emys orbicularis;Marquage;434;F;ND;796;165;Arles;Franc-Bord Demi-Lune;11;4;2007
Emys orbicularis;Marquage;435;F;ND;752;167;Arles;Boutardière;12;4;2007
Emys orbicularis;Marquage;436;M;ND;342;128;Arles;Palunette Ligagneau - Baie des cochons;12;4;2007
Emys orbicularis;Recapture;407;F;ND;752;ND;Arles;Franc-Bord Demi-Lune;13;4;2007
Emys orbicularis;Recapture;413;M;ND;366;ND;Arles;Franc-Bord Demi-Lune;13;4;2007
Emys orbicularis;Recapture;399;F;ND;741;ND;Arles;Franc-Bord Demi-Lune;13;4;2007
Emys orbicularis;Recapture;416;F;ND;636;ND;Arles;Franc-Bord Demi-Lune;13;4;2007
Emys orbicularis;Recapture;249;F;ND;712;ND;Arles;Cabanes de l'Etourneau - Maison des gardes;16;4;2007
Emys orbicularis;Recapture;275;M;ND;284;ND;Arles;Franc-Bord Palunette Ligagneau;16;4;2007
Emys orbicularis;Recapture;282;F;ND;483;ND;Arles;Palunette Ligagneau - Baie des cochons;16;4;2007
Emys orbicularis;Recapture;337;M;ND;352;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;357;F;ND;591;ND;Arles;Cabanes de l'Etourneau - Maison des gardes;16;4;2007
Emys orbicularis;Recapture;390;F;ND;685;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;392;M;ND;313;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;398;F;ND;791;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;400;M;ND;315;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;405;F;ND;804;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;412;F;ND;681;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;413;M;ND;363;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;414;F;ND;613;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;430;M;ND;436;ND;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Marquage;437;ind;3 ans;27,5;52;Arles;Franc-Bord Demi-Lune;16;4;2007
Emys orbicularis;Recapture;400;M;ND;314;ND;Arles;Franc-Bord Demi-Lune;17;4;2007
Emys orbicularis;Recapture;393;M;ND;345;ND;Arles;Franc-Bord Demi-Lune;17;4;2007
Emys orbicularis;Recapture;430;M;ND;433;ND;Arles;Franc-Bord Demi-Lune;17;4;2007
Emys orbicularis;Recapture;399;M;ND;729;ND;Arles;Franc-Bord Demi-Lune;17;4;2007
Emys orbicularis;Recapture;267;F;ND;ND;ND;Arles;Pesquier;17;4;2007
Emys orbicularis;Recapture;282;F;ND;494;146;Arles;Palunette Ligagneau - Baie des cochons;18;4;2007
Emys orbicularis;Recapture;262;F;ND;555;155;Arles;Palunette Ligagneau - Baie des cochons;18;4;2007
Emys orbicularis;Recapture;335;M;ND;391;137;Arles;Clos des Montures;18;4;2007
Emys orbicularis;Recapture;162;F;ND;586;152;Arles;Clos des Montures;18;4;2007
Emys orbicularis;Recapture;267;F;ND;726;160;Arles;Palunette Ligagneau - Baie des cochons;18;4;2007
Emys orbicularis;Recapture;434;F;ND;780;ND;Arles;Franc-Bord Demi-Lune;18;4;2007
Emys orbicularis;Recapture;337;M;ND;347;ND;Arles;Franc-Bord Demi-Lune;18;4;2007
Emys orbicularis;Marquage;438;ind;ND;4,4;25;Arles;Sentier Ludo;18;4;2007
Emys orbicularis;Recapture;153;F;ND;700;ND;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Recapture;263;M;ND;333;ND;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Recapture;296;M;ND;356;ND;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Recapture;431;F;ND;794;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;418;F;ND;873;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;400;M;ND;319;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;797;F;Ad;755;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;425;F;ND;574;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;431;F;ND;794;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Recapture;390;F;ND;689;ND;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Marquage;439;F;ND;564;152;Arles;Franc-Bord Demi-Lune;19;4;2007
Emys orbicularis;Marquage;440;F;ND;636;158;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Marquage;441;M;ND;464;146;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Marquage;504;F;ND;851;178;Arles;Clos des Montures;19;4;2007
Emys orbicularis;Recapture;387;M;ND;431;ND;Arles;Franc-Bord Demi-Lune;20;4;2007
Emys orbicularis;Recapture;430;M;ND;440;ND;Arles;Franc-Bord Demi-Lune;20;4;2007
Emys orbicularis;Recapture;431;F;ND;793;ND;Arles;Franc-Bord Demi-Lune;20;4;2007
Emys orbicularis;Recapture;418;F;ND;859;ND;Arles;Franc-Bord Demi-Lune;20;4;2007
Emys orbicularis;Recapture;411;F;ND;663;ND;Arles;Franc-Bord Demi-Lune;20;4;2007
Emys orbicularis;Recapture;390;M;ND;386;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;305;F;ND;636;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;263;M;ND;323;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;419;M;ND;374;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;382;F;ND;873;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;335;M;ND;406;ND;Arles;Clos des Montures;20;4;2007
Emys orbicularis;Recapture;91;F;ND;755;163;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;275;M;ND;286;ND;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;265;F;ND;755;ND;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;254;M;ND;365;ND;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;436;M;ND;322;ND;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;256;M;ND;415;ND;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;439;F;ND;558;ND;Arles;Franc-Bord Demi-Lune;23;4;2007
Emys orbicularis;Recapture;797;F;Ad;741;ND;Arles;Franc-Bord Demi-Lune;23;4;2007
Emys orbicularis;Recapture;411;F;ND;659;ND;Arles;Franc-Bord Demi-Lune;23;4;2007
Emys orbicularis;Recapture;393;M;ND;349;ND;Arles;Franc-Bord Demi-Lune;23;4;2007
Emys orbicularis;Marquage;442;F;ND;594;158;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Marquage;443;M;ND;275;123;Arles;Palunette Ligagneau - Baie des cochons;23;4;2007
Emys orbicularis;Recapture;265;F;ND;755;ND;Arles;Palunette Ligagneau - Baie des cochons;25;4;2007
Emys orbicularis;Recapture;351;M;ND;419;ND;Arles;Franc-Bord Palunette Ligagneau;25;4;2007
Emys orbicularis;Recapture;352;F;ND;879;ND;Arles;Palunette Ligagneau - Baie des cochons;25;4;2007
Emys orbicularis;Recapture;421;F;ND;661;ND;Arles;Franc-Bord Demi-Lune;25;4;2007
Emys orbicularis;Recapture;391;M;ND;416;ND;Arles;Franc-Bord Demi-Lune;25;4;2007
Emys orbicularis;Recapture;408;F;ND;557;ND;Arles;Franc-Bord Demi-Lune;25;4;2007
Emys orbicularis;Recapture;337;M;ND;345;ND;Arles;Franc-Bord Demi-Lune;25;4;2007
Emys orbicularis;Marquage;444;F;ND;665;153;Arles;Etourneau Nord;25;4;2007
Emys orbicularis;Recapture;439;F;ND;562;ND;Arles;Franc-Bord Demi-Lune;26;4;2007
Emys orbicularis;Recapture;421;F;ND;665;ND;Arles;Franc-Bord Demi-Lune;26;4;2007
Emys orbicularis;Recapture;393;M;ND;348;ND;Arles;Franc-Bord Demi-Lune;27;4;2007
Emys orbicularis;Recapture;418;F;ND;877;ND;Arles;Franc-Bord Demi-Lune;27;4;2007
Emys orbicularis;Recapture;351;M;ND;430;ND;Arles;Franc-Bord Palunette Ligagneau;27;4;2007
Emys orbicularis;Recapture;341;F;ND;159;ND;Arles;Franc-Bord Palunette Ligagneau;27;4;2007
Emys orbicularis;Recapture;134;F;ND;582;ND;Arles;Palunette Ligagneau - Baie des cochons;27;4;2007
Emys orbicularis;Recapture;259;M;ND;392;ND;Arles;Palunette Ligagneau - Baie des cochons;27;4;2007
Emys orbicularis;Recapture;257;M;ND;405;ND;Arles;Palunette Ligagneau - Baie des cochons;27;4;2007
Emys orbicularis;Recapture;424;ind;ND;191;ND;Arles;Franc-Bord Palunette Ligagneau;28;4;2007
